Circuit,County,DivisionOfCourt,TypeOfCase,TypeOfDisposition,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
1,Escambia,Circuit Criminal,Other Crimes Against Person,After Trial - Jury Acquitted/Dismissed,14,13,16,6,11,11,15,9,9,8,20,21,27,16,17,17,8,13,14,12,18,17,10,16,17,16,19,7
1,Escambia,Circuit Criminal,Other Crimes Against Person,After Trial - Jury Plea,6,3,3,2,7,8,5,4,1,3,4,0,4,4,2,3,1,1,1,0,0,1,1,0,1,3,0,1
1,Escambia,Circuit Criminal,Other Crimes Against Person,After Trial - Jury Convicted,15,9,6,8,8,24,12,16,9,17,13,24,32,27,18,24,18,37,15,28,30,22,17,17,29,20,28,16
1,Escambia,Circuit Criminal,Burglary,Before Trial - Speedy Trial Rule Dismissals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Escambia,Circuit Criminal,Burglary,Before Trial - Dismissed,4,53,87,111,64,62,37,70,56,42,69,39,57,39,47,77,93,81,58,84,85,76,81,113,83,96,107,178
1,Escambia,Circuit Criminal,Burglary,Before Trial - Transferred,3,2,2,3,3,0,0,0,1,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20
1,Escambia,Circuit Criminal,Burglary,Before Trial - Plea,71,617,957,993,785,1006,933,850,811,494,445,369,481,482,420,382,612,650,527,456,376,384,413,436,498,459,476,718
1,Escambia,Circuit Criminal,Burglary,Before Trial - Other,6,3,3,1,2,5,13,26,33,15,96,44,25,9,17,23,23,17,11,13,16,21,16,12,12,13,6,5
1,Escambia,Circuit Criminal,Burglary,After Trial - Non Jury Acquitted/Dismissed,0,1,1,0,4,1,2,0,2,1,2,5,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
1,Escambia,Circuit Criminal,Burglary,After Trial - Non Jury Plea,0,0,0,0,0,2,2,1,0,0,0,0,0,2,0,2,1,6,3,5,2,3,0,4,2,14,5,0
1,Escambia,Circuit Criminal,Burglary,After Trial - Non Jury Convicted,0,0,0,0,0,0,0,2,11,0,2,6,1,2,1,0,0,1,0,0,2,0,1,0,1,0,0,2
1,Escambia,Circuit Criminal,Burglary,After Trial - Jury Acquitted/Dismissed,0,2,12,12,18,4,4,2,2,4,5,1,3,7,2,3,5,4,2,2,4,4,5,1,3,5,1,2
1,Escambia,Circuit Criminal,Burglary,After Trial - Jury Plea,0,1,0,0,2,0,1,0,1,2,0,1,1,3,0,0,0,0,1,1,0,0,0,1,2,0,1,1
1,Escambia,Circuit Criminal,Burglary,After Trial - Jury Convicted,0,1,3,8,15,16,6,5,5,4,9,7,5,3,4,6,8,9,5,11,11,7,3,8,10,9,12,5
1,Escambia,Circuit Criminal,"Theft, Forgery, Fraud",Before Trial - Speedy Trial Rule Dismissals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Escambia,Circuit Criminal,"Theft, Forgery, Fraud",Before Trial - Dismissed,234,186,197,204,223,134,59,210,224,103,69,69,117,91,112,177,144,163,126,234,209,224,252,307,245,220,252,289
1,Escambia,Circuit Criminal,"Theft, Forgery, Fraud",Before Trial - Transferred,10,5,2,0,2,0,0,1,3,4,1,5,4,1,2,2,3,0,0,3,1,0,1,1,2,1,3,16
1,Escambia,Circuit Criminal,"Theft, Forgery, Fraud",Before Trial - Plea,1153,1086,1623,1919,1402,1619,1353,1267,1190,1132,1403,1018,965,1065,847,1090,1049,1053,995,1114,1119,1180,1289,989,1013,915,1196,1179
1,Escambia,Circuit Criminal,"Theft, Forgery, Fraud",Before Trial - Other,21,10,2,1,0,15,53,66,134,141,260,102,56,47,52,53,65,65,40,54,70,76,87,75,29,25,2,27
1,Escambia,Circuit Criminal,"Theft, Forgery, Fraud",After Trial - Non Jury Acquitted/Dismissed,7,3,2,4,1,2,1,8,2,12,4,2,7,0,2,2,2,2,1,3,0,0,1,0,0,2,1,1
1,Escambia,Circuit Criminal,"Theft, Forgery, Fraud",After Trial - Non Jury Plea,0,1,2,0,4,0,1,1,2,0,0,0,1,0,0,1,6,2,6,8,3,7,5,2,5,4,3,0
1,Escambia,Circuit Criminal,"Theft, Forgery, Fraud",After Trial - Non Jury Convicted,1,1,0,0,1,2,2,5,0,3,103,3,0,2,2,2,1,2,4,0,3,1,3,1,2,0,1,2
1,Escambia,Circuit Criminal,"Theft, Forgery, Fraud",After Trial - Jury Acquitted/Dismissed,9,17,8,8,15,20,6,3,14,6,8,1,3,5,1,8,5,9,4,5,10,5,1,6,0,2,5,3
1,Escambia,Circuit Criminal,"Theft, Forgery, Fraud",After Trial - Jury Plea,0,3,0,2,1,3,0,1,0,1,0,2,2,1,1,2,0,1,0,0,0,1,2,0,0,1,1,0
1,Escambia,Circuit Criminal,"Theft, Forgery, Fraud",After Trial - Jury Convicted,4,3,5,25,6,38,4,6,18,5,10,5,2,12,4,8,8,17,14,13,10,14,9,10,15,4,9,1
1,Escambia,Circuit Criminal,Worthless Checks (Felony),Before Trial - Speedy Trial Rule Dismissals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Escambia,Circuit Criminal,Worthless Checks (Felony),Before Trial - Dismissed,64,68,65,74,36,24,21,177,919,487,46,12,31,23,9,4,11,8,9,7,10,2,8,9,6,4,1,3
1,Escambia,Circuit Criminal,Worthless Checks (Felony),Before Trial - Transferred,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Escambia,Circuit Criminal,Worthless Checks (Felony),Before Trial - Plea,1244,485,456,493,304,207,187,163,258,219,152,97,112,80,31,20,47,39,22,15,4,10,5,9,17,31,1,5
1,Escambia,Circuit Criminal,Worthless Checks (Felony),Before Trial - Other,16,1,0,0,0,0,0,1,2,9,594,308,5,9,1,0,342,13,3,0,3,0,1,1,0,1,0,0
1,Escambia,Circuit Criminal,Worthless Checks (Felony),After Trial - Non Jury Acquitted/Dismissed,0,1,4,2,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Escambia,Circuit Criminal,Worthless Checks (Felony),After Trial - Non Jury Plea,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,Escambia,Circuit Criminal,Worthless Checks (Felony),After Trial - Non Jury Convicted,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Escambia,Circuit Criminal,Worthless Checks (Felony),After Trial - Jury Acquitted/Dismissed,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Escambia,Circuit Criminal,Worthless Checks (Felony),After Trial - Jury Plea,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Escambia,Circuit Criminal,Worthless Checks (Felony),After Trial - Jury Convicted,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Escambia,Circuit Criminal,Other Crimes Against Property,Before Trial - Speedy Trial Rule Dismissals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Escambia,Circuit Criminal,Other Crimes Against Property,Before Trial - Dismissed,77,31,5,4,4,5,2,5,2,2,6,3,18,2,2,10,9,9,8,15,19,12,13,12,15,12,12,18
1,Escambia,Circuit Criminal,Other Crimes Against Property,Before Trial - Transferred,18,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,3
1,Escambia,Circuit Criminal,Other Crimes Against Property,Before Trial - Plea,692,155,33,26,25,30,31,23,24,33,22,24,24,41,28,25,41,33,29,44,42,70,62,39,30,24,37,61
1,Escambia,Circuit Criminal,Other Crimes Against Property,Before Trial - Other,10,17,0,0,0,4,6,2,4,2,5,4,0,1,2,4,6,5,7,12,5,3,3,2,3,1,0,3
1,Escambia,Circuit Criminal,Other Crimes Against Property,After Trial - Non Jury Acquitted/Dismissed,6,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1,Escambia,Circuit Criminal,Other Crimes Against Property,After Trial - Non Jury Plea,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,Escambia,Circuit Criminal,Other Crimes Against Property,After Trial - Non Jury Convicted,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
1,Escambia,Circuit Criminal,Other Crimes Against Property,After Trial - Jury Acquitted/Dismissed,4,5,0,0,1,0,0,1,1,0,2,3,1,3,0,0,1,1,4,0,1,0,0,1,0,0,0,0
1,Escambia,Circuit Criminal,Other Crimes Against Property,After Trial - Jury Plea,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,Escambia,Circuit Criminal,Other Crimes Against Property,After Trial - Jury Convicted,8,5,0,0,0,0,1,0,0,0,0,0,2,2,3,3,1,0,1,1,1,0,1,0,2,0,0,0
1,Escambia,Circuit Criminal,Drugs,Before Trial - Speedy Trial Rule Dismissals,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,Escambia,Circuit Criminal,Drugs,Before Trial - Dismissed,98,79,54,143,98,117,110,101,108,86,93,100,94,121,95,140,122,109,121,168,177,204,185,231,192,163,185,182
1,Escambia,Circuit Criminal,Drugs,Before Trial - Transferred,15,1,0,0,2,0,1,1,3,1,6,6,4,0,0,1,1,1,1,0,0,1,0,0,1,0,3,4
1,Escambia,Circuit Criminal,Drugs,Before Trial - Plea,510,614,583,1008,982,1215,1345,1124,1095,1135,1046,901,908,948,823,851,954,997,977,1290,1155,958,855,828,805,757,805,950
1,Escambia,Circuit Criminal,Drugs,Before Trial - Other,4,1,1,4,0,5,36,54,110,81,93,107,53,33,33,39,80,65,49,71,50,47,52,29,15,18,6,13
1,Escambia,Circuit Criminal,Drugs,After Trial - Non Jury Acquitted/Dismissed,0,0,0,0,0,0,0,3,1,0,0,1,3,1,0,0,0,0,1,0,0,1,0,2,0,0,0,0
1,Escambia,Circuit Criminal,Drugs,After Trial - Non Jury Plea,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,2,0,5,5,5,7,2,1,3,1,0,0,1
1,Escambia,Circuit Criminal,Drugs,After Trial - Non Jury Convicted,3,1,0,3,1,2,7,1,0,1,2,4,4,2,0,3,1,1,1,6,2,1,2,1,0,1,0,2
1,Escambia,Circuit Criminal,Drugs,After Trial - Jury Acquitted/Dismissed,14,2,3,5,9,10,5,4,3,6,3,6,5,12,3,10,5,5,7,7,6,12,2,4,7,4,6,4
1,Escambia,Circuit Criminal,Drugs,After Trial - Jury Plea,1,2,0,2,2,2,4,3,0,1,2,2,1,0,0,3,0,1,0,0,1,1,1,0,2,1,0,2
1,Escambia,Circuit Criminal,Drugs,After Trial - Jury Convicted,7,7,6,12,18,26,15,10,10,4,5,15,19,16,5,19,9,13,11,23,14,20,8,22,20,24,19,10
1,Escambia,Circuit Criminal,Other Felonies,Before Trial - Speedy Trial Rule Dismissals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Escambia,Circuit Criminal,Other Felonies,Before Trial - Dismissed,56,32,50,32,35,20,16,51,27,20,20,26,26,21,30,34,49,51,51,58,69,74,83,79,96,84,81,169
1,Escambia,Circuit Criminal,Other Felonies,Before Trial - Transferred,2,0,0,1,0,0,0,0,2,2,5,6,10,31,34,156,23,34,39,31,68,33,51,47,53,47,72,148
1,Escambia,Circuit Criminal,Other Felonies,Before Trial - Plea,209,150,156,210,196,194,205,175,342,1790,896,732,377,451,384,675,659,716,738,837,900,784,903,714,719,779,1033,1453
1,Escambia,Circuit Criminal,Other Felonies,Before Trial - Other,7,1,8,1,7,5,10,16,21,9,50,24,19,13,7,8,15,20,14,7,16,11,11,14,6,6,6,23
1,Escambia,Circuit Criminal,Other Felonies,After Trial - Non Jury Acquitted/Dismissed,0,0,1,0,1,0,1,1,1,3,1,1,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,3
1,Escambia,Circuit Criminal,Other Felonies,After Trial - Non Jury Plea,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,5,3,7,17,14,11,11,5,8,2,5,6,1
1,Escambia,Circuit Criminal,Other Felonies,After Trial - Non Jury Convicted,7,3,0,0,0,1,0,0,1,5,6,16,4,4,1,3,1,3,4,1,2,3,1,0,1,0,1,7
1,Escambia,Circuit Criminal,Other Felonies,After Trial - Jury Acquitted/Dismissed,7,0,3,2,0,2,1,1,1,1,6,10,5,3,2,0,8,5,6,3,7,4,4,4,9,4,4,4
1,Escambia,Circuit Criminal,Other Felonies,After Trial - Jury Plea,0,1,0,0,0,0,0,0,0,4,6,12,5,4,2,1,2,1,2,2,2,1,0,3,0,0,2,1
1,Escambia,Circuit Criminal,Other Felonies,After Trial - Jury Convicted,8,10,1,8,7,2,4,2,1,30,26,33,23,17,8,11,8,13,13,16,23,12,15,18,20,15,12,11
1,Escambia,Family Court,Simplified Dissolution,"Dismissed, Settled or Disposed Before Hearing",11,13,0,7,9,21,11,13,11,9,13,8,10,6,8,7,5,3,1,1,2,2,3,2,3,3,1,3
1,Escambia,Family Court,Simplified Dissolution,"Dismissed, Settled or Disposed After Hearing",2,5,13,1,1,0,5,7,2,0,0,1,1,2,1,1,0,0,0,1,1,0,0,2,1,4,4,2
1,Escambia,Family Court,Simplified Dissolution,By Default,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0
1,Escambia,Family Court,Simplified Dissolution,By Judge,210,254,226,260,266,300,292,264,306,281,200,206,163,131,160,85,125,77,92,80,112,169,152,165,136,128,180,170
1,Escambia,Family Court,Simplified Dissolution,Non Jury Trial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Escambia,Family Court,Simplified Dissolution,Jury Trial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Escambia,Family Court,Simplified Dissolution,Other,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Escambia,Family Court,Dissolution,"Dismissed, Settled or Disposed Before Hearing",193,206,29,176,178,139,159,113,94,124,141,151,105,158,181,179,158,195,134,186,95,51,27,40,40,35,47,34
1,Escambia,Family Court,Dissolution,"Dismissed, Settled or Disposed After Hearing",72,174,222,95,68,87,115,139,93,61,45,44,45,64,53,42,50,35,31,81,93,87,95,141,13,138,125,132
1,Escambia,Family Court,Dissolution,By Default,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,260,348,327,267,199,155,38,88,47,129,0,66
1,Escambia,Family Court,Dissolution,By Judge,1797,1718,1816,1821,1823,1752,1661,1232,1627,1604,1523,1524,1465,1582,1573,1626,1210,1153,1015,993,982,921,1097,1004,1100,1021,1181,989
1,Escambia,Family Court,Dissolution,Non Jury Trial,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1,Escambia,Family Court,Dissolution,Jury Trial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,Escambia,Family Court,Dissolution,Other,9,10,13,12,14,7,19,2,0,0,0,0,0,0,3,5,1,0,0,2,5,9,3,1,4,8,3,8
1,Escambia,Family Court,Child Support,"Dismissed, Settled or Disposed Before Hearing",102,44,14,96,76,4,89,237,192,47,58,117,243,82,34,213,216,150,319,339,269,274,575,394,395,335,124,158
1,Escambia,Family Court,Child Support,"Dismissed, Settled or Disposed After Hearing",36,58,63,117,203,275,22,0,3,0,0,0,3,2,28,187,287,124,123,64,88,111,162,118,249,342,230,137
1,Escambia,Family Court,Child Support,By Default,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,200,361,223,138,76,10,144,237,210,134,0,0,0
1,Escambia,Family Court,Child Support,By Judge,301,191,168,413,465,182,167,102,151,276,259,168,249,407,558,472,671,844,571,284,454,320,320,163,631,459,300,204
1,Escambia,Family Court,Child Support,Non Jury Trial,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Escambia,Family Court,Child Support,Jury Trial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Escambia,Family Court,Child Support,Other,8,58,71,28,52,261,31,3,0,0,0,0,0,0,0,1,15,49,39,35,56,45,90,91,167,120,58,27
1,Escambia,Family Court,UIFSA,"Dismissed, Settled or Disposed Before Hearing",,,,,,,,,,,,,,,,,,,,,,,,,25,24,12,16
1,Escambia,Family Court,UIFSA,"Dismissed, Settled or Disposed Before Hearing",28,8,6,5,5,6,23,145,231,50,35,84,59,26,3,4,12,1,12,24,14,12,29,30,0,0,0,0
1,Escambia,Family Court,UIFSA,"Dismissed, Settled or Disposed After Hearing",35,40,36,47,54,94,4,1,0,0,0,0,0,0,0,10,17,4,1,2,4,7,9,6,20,12,9,7
1,Escambia,Family Court,UIFSA,By Default,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,20,7,0,10,7,14,13,14,0,0,0,0
