name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986
Products Liability,828,739,801,906,927,1725,1598,797,1535,2372,3382,4900,2800,6890,4148,2041,2811,2180,4634,2286,2712,1851,2477,1221,689,1076,1025,755
Professional Malpractice,1495,1546,1563,1701,1329,1276,1196,1255,1465,1941,2296,2397,2509,2216,2184,2180,1971,1985,1877,1848,1693,1667,1501,1440,1348,1470,1733,1455
Real Property/Mortgage Foreclosure,131295,202655,139095,244135,399127,368733,180983,73878,57124,64025,74532,82203,74309,66672,66258,62887,60521,49552,40984,39930,43267,56142,65334,55905,50927,47232,44094,42630
Repeat Violence,24998,27767,29271,29635,31496,31095,31966,30178,30047,28322,23521,21317,20057,19220,17084,15504,13549,12002,9612,8755,7795,6220,6651,14,0,0,0,0
Replevins,2623,2747,2687,2874,3715,3626,3485,3149,3444,4595,5544,5726,5570,6324,7187,6254,6802,6153,5161,5370,4555,4324,4165,4358,3657,3393,4418,3707
Robbery,4657,5522,5688,6045,7075,7544,7486,6049,5114,5228,5546,6004,6037,5577,5362,5666,6237,6339,5999,6482,6624,8186,8542,8321,8038,7332,6653,5938
Sexual Offenses,2987,3213,2901,3200,3339,3432,3795,3870,3980,3642,3928,4253,4113,4133,4010,3893,4045,3872,3887,4398,4349,4346,4108,4296,4129,3793,3657,3509
Simplified Dissolution,9379,8229,6724,6873,6232,5238,4974,5280,5024,4847,4753,4823,5275,5876,6643,7462,8106,8571,10044,11242,12090,12642,12833,12714,11430,10680,10218,9660
"Small Claims (up to $5,000)",183489,210795,199599,173256,221329,269921,285427,238579,200737,192142,234745,223658,210521,176773,151479,153061,157480,116903,112813,114809,115382,129928,156567,165089,178378,181088,192307,202183
Substance Abuse Act,9547,8830,9227,8846,8090,7891,8358,8550,8063,8255,7278,6061,4986,4394,4499,4464,4459,4954,4510,4080,1585,1333,1472,1698,1693,1787,1831,2103
Termination of Parental Rights,3021,3164,3040,2705,2768,3360,3633,3549,3018,2778,2913,3362,3309,2885,2125,1883,703,0,0,0,0,0,0,0,0,0,0,0
"Theft, Forgery, Fraud",46792,48600,46812,44637,47250,50428,47236,43638,41220,38592,40727,39988,40348,39548,38896,39681,38433,37210,36453,34746,32371,34069,36397,37354,36859,35655,31432,30774
Trusts,1043,975,947,972,1008,976,1041,890,1052,855,941,921,905,1216,1293,1204,1028,954,446,446,363,429,398,334,436,255,313,295
UIFSA,4595,2132,6406,5842,5337,5253,4990,4724,5042,5653,5555,6900,6910,7270,7281,8218,12444,15347,19008,20762,21790,19576,18141,20097,17701,18936,16522,17031
Worthless Checks (Felony),1211,1405,1467,1927,2610,3010,3844,4029,5398,5798,5381,4776,5278,6249,6804,8799,9401,10953,9538,8760,9124,9156,8900,9693,8860,7861,8115,16405
Worthless Checks (Misdemeanors),8231,9588,10251,13625,18731,25286,36032,44855,50191,51827,48180,54324,52856,59466,61200,70629,73020,84396,74988,67675,68768,72349,80463,74544,77887,73345,64359,63956
